"","model","r2","nll","k","n","converg_nlminb","convergence_optim","message_nlminb","aic","aicc","delta_aic","aic_L","sum_aic_L","aic_wt","sum_aic_wt","evidence_wt_top","top_set"
"m4","m4",0.839990307861454,5010.30594674354,11,-0.954284543840683,0,NA,"relative convergence (4)",10042.6118934871,10022.2325356687,0,1,1,1,1,1,TRUE
"m5","m5",0.836949039300442,5296.43447045373,11,10722,1,10,"false convergence (8)",10614.8689409075,10614.8935907674,592.661055098704,2.01970093178383e-129,1,2.01970093178383e-129,1,4.95122809651222e+128,FALSE
"m2","m2",0.813135553539883,5368.96333985394,9,10722,1,0,"false convergence (8)",10755.9266797079,10755.9434832926,733.710947623929,4.74998313295143e-160,1,4.74998313295143e-160,1,2.10527063362148e+159,FALSE
"m3","m3",0.83066566595889,5426.60190197721,53,10722,1,1,"false convergence (8)",10959.2038039544,10959.7403618847,937.507826215977,2.64705013346875e-204,1,2.64705013346875e-204,1,3.77779017992976e+203,FALSE
"m1","m1",0.805419653585539,5488.625816086,7,10722,1,0,"false convergence (8)",10991.251632172,10991.2620857841,969.029550115378,3.78361372199893e-211,1,3.78361372199893e-211,1,2.64297593114682e+210,FALSE
"m3_rnd","m3_rnd",0.831256958082728,5576.80985433584,9,10722,1,0,"false convergence (8)",11171.6197086717,11171.6365122564,1149.40397658774,2.57097435789508e-250,1,2.57097435789508e-250,1,3.88957593812303e+249,FALSE
"m0","m0",0.788525153461947,5986.00614329383,5,10722,1,0,"false convergence (8)",11982.0122865877,11982.0178856918,1959.78535002309,0,1,0,1,Inf,FALSE
