"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
"1990",0.0201087502701277,0.140146024005235,0.42114824481423,0.789354582649534,1.13164175319022,1.39193958715084,1.5680774689279,1.67947379162282,1.74722460832704,1.78751083652411,1.81115600356773,1.82493016548521,1.83291941572239,1.83754175215362,1.84021224382666,1.84175380235226,1.84264325065747,1.8431563026943,1.84345219449632,1.84362282809705,1.84372122312988,1.84377796041238,1.84381067611402,1.84382954036375,1.84384041764334
"1993",0.0296407460203792,0.16155942028165,0.414229966023974,0.701233668371694,0.942267802610585,1.11260680650201,1.221743169144,1.28789095515315,1.32674480947591,1.34916597441603,1.36197569394285,1.3692530058647,1.37337417343179,1.37570381977449,1.37701940817851,1.37776191781709,1.3781808505509,1.37841717443615,1.37855047330204,1.37862565639738,1.37866805971137,1.37869197476822,1.378705462488,1.37871306930755,1.37871735939615
"1996",0.0420473336386224,0.178431851123003,0.390482610853385,0.598494836877533,0.75601058681669,0.859300713606625,0.92185259222175,0.958108210324738,0.978621139237832,0.990074042471992,0.996422014983067,0.999926412304062,1.00185675747843,1.00291877335385,1.00350267310024,1.00382358581866,1.00399992483892,1.00409681106542,1.0041500401942,1.0041792832145,1.00419534845221,1.00420417412304,1.00420902260629,1.00421168616797,1.00421314941918
"2001",0.0363638210652982,0.171969612533887,0.40286263952822,0.644242736500069,0.835411128852512,0.964904675782037,1.04527335660483,1.09277697413391,1.12010182889555,1.13558347008631,1.14428148788331,1.14914545346816,1.15185833117476,1.1533692509396,1.15421007114937,1.15467777463376,1.15493786847127,1.15508248884321,1.15516289614787,1.15520759979709,1.15523245287216,1.15524626980198,1.15525395119138,1.1552582215686,1.15526059562873
"2005",0.0405568812397202,0.176926339887276,0.393942218379454,0.610314071526472,0.776046365830413,0.885629242182509,0.952410303292553,0.991312542674083,1.01341703125227,1.02580557177559,1.0326963799625,1.03651324471845,1.03862257162595,1.03978677852729,1.04042889361473,1.04078291401126,1.04097805634767,1.04108560968993,1.0411448842478,1.04117755034925,1.04119555222614,1.04120547272664,1.04121093969796,1.04121395241668,1.04121561265179
"2007",0.0177355910242976,0.133180031546186,0.420206835492258,0.812916219113874,1.18942994963291,1.4822160666136,1.68364482417712,1.81267312834847,1.89196192017112,1.93952376585518,1.96765704313422,1.98416334448169,1.99380228710488,1.99941560455362,2.00267937567179,2.00457529296075,2.00567603810012,2.00631491824462,2.00668566197398,2.00690078300647,2.0070255976713,2.00709801343035,2.00714002720497,2.00716440223593,2.00717854374217
"2011",0.0299057361907491,0.162033578781317,0.413862687070391,0.698916517608112,0.93772362836212,1.10618867534824,1.21398071257787,1.27924541195914,1.31754738827045,1.33963343210322,1.35224305253595,1.3594020850248,1.3634537701965,1.36574276187617,1.36703462676974,1.36776331947304,1.36817421681618,1.36840587317641,1.36853646354547,1.36861007633636,1.36865156996797,1.36867495843383,1.36868814153501,1.36869557225565,1.36869976060474
"2013",0.0261858797100857,0.154834334704322,0.41828032998342,0.732054388633724,1.00458132147929,1.20190776148578,1.3306482625505,1.40979334870325,1.45682865714057,1.48424779870211,1.50005748450921,1.50911660431145,1.51428921938897,1.51723675983296,1.51891445216075,1.51986874651863,1.52041136156594,1.52071982952341,1.52089516767383,1.52099482593602,1.52105146726668,1.52108365897804,1.52110195468823,1.52111235272631,1.52111826224064
"2015",0.0406983537816335,0.177074854567885,0.393620069920013,0.6091872155289,0.774122417847601,0.883091812277756,0.949459145637672,0.988101803343589,1.0100498664807,1.02234628540947,1.02918356171723,1.03296956674633,1.03506119208625,1.03621527816897,1.03685161986115,1.0372023524325,1.03739562495603,1.03750211612996,1.03756078791206,1.03759311224799,1.03761092050833,1.03762073140556,1.03762613637689,1.03762911404746,1.03763075448283
"2017",0.0345966656330011,0.169543592992376,0.406231487586728,0.658884191694762,0.861947683454372,1.00097009954787,1.08794661479225,1.13968341401611,1.16960197888885,1.18663278002862,1.19624240369993,1.20163805229722,1.20465932478694,1.20634848736399,1.20729207465625,1.20781892313445,1.20811300881197,1.2082771424388,1.20836874029153,1.20841985583125,1.20844837976438,1.20846429670587,1.20847317861535,1.20847813484156,1.20848090047623
"2019",0.0409768897920951,0.177363793043024,0.392981956396361,0.606971744552493,0.770348333016283,0.878120006981476,0.943680485828259,0.981817319809011,1.00346077078568,1.01557789892289,1.0223110416501,1.02603704450142,1.02809426718659,1.02922869224561,1.02985382318477,1.03019817419889,1.03038781902336,1.03049225031766,1.03054975362402,1.03058141573206,1.03059884898763,1.0306084476911,1.03061373268056,1.03061664255523,1.03061824470708
"2021",0.0348256600928752,0.169869793912046,0.405809011832014,0.656974331640265,0.858452696005972,0.996197427894066,1.08228413111256,1.13344907755669,1.1630163810609,1.17983693822706,1.18932261147297,1.19464584242976,1.19762504111041,1.19928984757007,1.20021937022298,1.20073811162994,1.20102753083962,1.20118898153842,1.20127903841627,1.20132926966535,1.2013572865595,1.20137291299128,1.20138162856951,1.201386489626,1.20138920084163
