"","model","r2","nll","k","n","converg_nlminb","convergence_optim","message_nlminb","aic","aicc","delta_aic","aic_L","sum_aic_L","aic_wt","sum_aic_wt","evidence_wt_top","top_set"
"m4","m4",0.712417395854933,3452.23162948687,11,-0.816727146946443,0,NA,"relative convergence (4)",6926.46325897373,6905.86517671972,0,1,1.00060294445601,0.999397418866947,0.9994,1,TRUE
"m3","m3",0.727467119328471,3411.93123942836,48,5716,1,0,"false convergence (8)",6919.86247885672,6920.6925476762,14.8273709564764,0.000602944456006629,1.00060294445601,0.000602581133053161,1,1658.5276,FALSE
"m2","m2",0.712500215140413,3482.07843893869,9,5716,1,0,"false convergence (8)",6982.15687787738,6982.18842361871,76.3232468989827,2.67065331943436e-17,1.00060294445601,2.66904403413114e-17,1,37444021383194648,FALSE
"m1","m1",0.713898858257566,3492.94828595467,7,5716,1,0,"false convergence (8)",6999.89657190933,6999.91619349308,94.0510167733537,3.77642791269113e-21,1.00060294445601,3.77415230848061e-21,1,2.64800500133839e+20,FALSE
"m0","m0",0.71617213126864,3505.72404316074,5,5716,1,0,"false convergence (8)",7021.44808632149,7021.4585942024,115.593417482678,7.9288156704628e-26,1.00060294445601,7.92403791573232e-26,1,1.26122240894728e+25,FALSE
"m5","m5",0.727240900187019,3519.82933951654,11,5716,1,10,"false convergence (8)",7061.65867903308,7061.70496234304,155.839785623316,1.44484254487035e-34,1.00060294445601,1.44397191001258e-34,1,6.92116939351154e+33,FALSE
