"","model","r2","nll","k","n","converg_nlminb","convergence_optim","message_nlminb","aic","aicc","delta_aic","aic_L","sum_aic_L","aic_wt","sum_aic_wt","evidence_wt_top","top_set"
"m4","m4",0.75917889720938,8935.90662168082,11,-0.886606783662998,0,NA,"relative convergence (4)",17893.8132433616,17873.3268574238,0,1,1,1,1,1,TRUE
"m2","m2",0.762379676582893,9136.77618160308,9,16739,1,0,"false convergence (8)",18291.5523632062,18291.5631229647,418.236265540912,1.51757048655349e-91,1,1.51757048655349e-91,1,6.58947975636419e+90,FALSE
"m1","m1",0.758479898422859,9347.17712896643,7,16739,1,0,"false convergence (8)",18708.3542579329,18708.3609520934,835.034094669649,4.72770361091431e-182,1,4.72770361091431e-182,1,2.11519181890213e+181,FALSE
"m0","m0",0.756317065883834,9358.27379519433,5,16739,1,0,"false convergence (8)",18726.5475903887,18726.5511761175,853.224318693705,5.30509643502924e-186,1,5.30509643502924e-186,1,1.88497987217925e+185,FALSE
"m3","m3",0.688222459678085,13307.3310109812,66,16739,1,1,"false convergence (8)",26746.6620219625,26747.192492212,8873.86563478824,0,1,0,1,Inf,FALSE
