"","model","r2","nll","k","n","converg_nlminb","convergence_optim","message_nlminb","aic","aicc","delta_aic","aic_L","sum_aic_L","aic_wt","sum_aic_wt","evidence_wt_top","top_set"
"m5","m5",0.751127034317573,3330.18492982083,11,6475,1,0,"false convergence (8)",6682.36985964166,6682.41070754511,0,1,1,1,1,1,TRUE
"m3","m3",0.742990010629031,3337.06009430081,47,6475,1,0,"false convergence (8)",6768.12018860163,6768.82222687765,86.4115193325451,1.72177735051148e-19,1,1.72177735051148e-19,1,5807951880090264576,FALSE
"m3_rnd","m3_rnd",0.740102805047014,3458.85367967741,9,6475,1,0,"false convergence (8)",6935.70735935482,6935.7352015822,253.324494037092,9.80133096412258e-56,1,9.80133096412258e-56,1,1.02026959773164e+55,FALSE
"m4","m4",0.711198111486443,3492.42457846507,11,-0.883447830732585,0,NA,"relative convergence (4)",7006.84915693014,6986.3577478393,303.947040294197,9.97100203065326e-67,1,9.97100203065326e-67,1,1.00290823021173e+66,FALSE
"m2","m2",0.710190811783046,3789.64508955334,9,6475,1,0,"false convergence (8)",7597.29017910668,7597.31802133406,914.907313788955,2.13993747504316e-199,1,2.13993747504316e-199,1,4.67303372954779e+198,FALSE
"m1","m1",0.710756231915039,3825.09756755409,7,6475,1,0,"false convergence (8)",7664.19513510819,7664.2124538031,981.80174625799,6.37469834651187e-214,1,6.37469834651187e-214,1,1.56870167911111e+213,FALSE
"m0","m0",0.714904575485233,3933.99031852253,5,6475,1,0,"false convergence (8)",7877.98063704505,7877.98991204892,1195.57920450381,2.41698749163383e-260,1,2.41698749163383e-260,1,4.13738177570799e+259,FALSE
