"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
"1990",0.0433649953490928,0.159523873349386,0.329192716103094,0.544059813839302,0.79868059134978,1.08897948928453,1.41168779467365,1.76407090886682,2.14377541393874,2.54873472273432,2.97710674817289,3.42723053876482,3.89759485818579,4.38681465950622,4.89361298653731,5.41680672951578,5.95529519441895,6.50805077510408,7.07411122940605,7.65257320071044,8.24258672200837,8.84335050592753,9.45410787149791,10.0741431926342,10.7027787785135
"1996",0.0431539028178997,0.158255877840923,0.326009892843607,0.538147589609282,0.789266513217146,1.07533022255223,1.39310627937909,1.73989387852711,2.11337124631527,2.51150156338143,2.93247085399393,3.37464479981375,3.83653746553258,4.31678789437413,4.81414211144791,5.32743896629476,5.85559877700323,6.39761406742867,6.95254190044128,7.51949745010955,8.09764855091519,8.68621102835947,9.28444466241169,9.89164966934319,10.5071636125838
"1999",0.0434868956801569,0.160258339107414,0.331039147810786,0.547493203499028,0.804151907981284,1.09691725985747,1.4224996597855,1.77814500150858,2.16148156453223,2.5704255176339,3.00311846827361,3.45788400006684,3.93319617147844,4.42765592255451,4.93997291925862,5.46895126044466,6.01347800509989,6.57251380778583,7.14508516243582,7.73027789526567,8.32723164320531,8.93513512086926,9.55322202644143,10.1807674711455,10.817084842225
"2001",0.0437900682116145,0.162092088142846,0.335658183016763,0.556093561347546,0.817870864338028,1.11683676879194,1.44964994265974,1.8135078001039,2.20599302027522,2.62497872196678,3.068565738056,3.53503892502725,4.02283547180307,4.53052114687176,5.05677200703471,5.60035998797036,6.16014133052586,6.73504712778971,7.32407549086922,7.92628497237564,8.54078898263508,9.1667510005335,9.80338042847377,10.449928975387,11.1056874771222
"2003",0.0444426237090049,0.16607348872626,0.345730965543106,0.574904181370144,0.847944339030976,1.16058162391792,1.50936453529833,1.89138643447517,2.304131548612,2.74537961549567,3.21314268258547,3.70562100585074,4.22117100692357,4.7582812185256,5.31555373282967,5.89168956558882,6.48547688394439,7.0957813781528,7.72153827130513,8.36174560295584,9.01545851919354,9.68178436904548,10.3598784550485,11.0489403205747,11.7482104821154
"2005",0.0437486253797302,0.16184082230891,0.335024508823816,0.554912740559878,0.815986106507226,1.11409880310513,1.44591655117906,1.80864338809589,2.19986823270382,2.61747010190934,3.05955542072761,3.52441436160887,4.01048917825865,4.51635047387581,5.04067892790385,5.58225090210144,6.13992688031764,6.7126420273951,7.29939836541377,7.89925820650619,8.51133857744422,9.13480643805009,9.76887454302859,10.4127978312576,11.065870251941
"2007",0.0431219510532974,0.158064375980544,0.325529739747289,0.537256364172743,0.787848226180896,1.07327483317957,1.39030924872832,1.73625578367527,2.10879744824695,2.50590191824578,2.92575945901446,3.36673976710055,3.82736071865695,4.30626498377658,4.80220204564329,5.31401405649703,5.84062449328351,6.38102890488955,6.93428725417342,7.49951749791412,8.07589014294729,8.6626235829821,9.25898006765865,9.86426218947625,10.4778097993009
"2011",0.0433216054495014,0.159262837892841,0.328536978310405,0.542841116276541,0.796739281000019,1.08616392772456,1.40785378899297,1.75908121128312,2.13749928644719,2.54104755586739,2.96788972370729,3.41637032819573,3.88498335060695,4.37234871396632,4.87719420502655,5.3983412475491,5.93469348679489,6.48522747488375,7.04898495851463,7.62506641084143,8.21262554472975,8.81086461106239,9.41903033299172,10.0364103612335,10.6623301606737
"2013",0.0432589776192473,0.158886431293944,0.327591883229916,0.541085225894093,0.793942956856479,1.0821091234546,1.40233321482939,1.7518976029876,2.12846477104895,2.529983097298,2.95462463303533,3.40074182628487,3.86683617378345,4.35153475542837,4.8535721863401,5.37177641577832,5.90505733372008,6.45239747544474,7.01284432614432,7.58550386776213,8.16953510560529,8.76414537865401,9.36858630466889,9.98215024535687,10.6041672020016
"2015",0.0455883200707203,0.173177721632352,0.3638517913851,0.608932028118618,0.902574849498752,1.2403157867718,1.61851484187548,2.03408445985241,2.48433563988213,2.96688227476936,3.4795775269132,4.02046929030448,4.58776773387917,5.17982086753374,5.79509564691886,6.43216302757839,7.0896859128875,7.766409272419,8.46115192145248,9.17279959456919,9.90029904329186,10.6426529554602,11.3989155422992,12.1681886741718,12.9496184718604
"2017",0.0436898466728164,0.16148477454283,0.334126994883204,0.553240787769174,0.813318061036077,1.11022369982638,1.44063343861677,1.80176071079949,2.19120328179818,2.60684852676084,3.04681079219574,3.50938777831111,3.99302890880535,4.49631162943345,5.01792316058442,5.55664612556732,6.11134700968418,6.68096673604897,7.26451285678502,7.86105299916155,8.4697093021307,9.08965364552847,9.72010352170513,10.3603184337615,11.0095967299081
"2019",0.0457040253457214,0.173903295144151,0.36571300172007,0.612440438868019,0.908223775800539,1.24857967366124,1.62984951550644,2.04892765447344,2.5031076107676,2.98998642702264,3.50740103245347,4.05338368218457,4.62612947425191,5.22397188874441,5.84536386658659,6.48886283909528,7.15311865294411,7.83686366716279,8.53890451280238,9.25811514809292,9.99343093892854,10.7438435622491,11.5083965781637,12.2861815517052,13.0763346309695
"2021",0.0437158724844522,0.161642377047985,0.334524214567798,0.553980681521414,0.814498667335278,1.11193832106073,1.44297094186292,1.80480580247886,2.19503675175635,2.61154746504718,3.05244878284597,3.51603507397752,4.00075258938414,4.50517574720762,5.02798887388937,5.56797182258802,6.1239884236826,6.69497705308203,7.27994281678561,7.87795099110849,8.4881214539172,9.10962390904469,9.74167375357536,10.3835284721147,11.0344844675107
